date,ticker,log_return,momentum_5d,excess_return,price_to_ma_21d,price_to_ma_50d,momentum_21d,roc,price_to_ma_200d,momentum_63d,momentum_126d,beta,fwd_sharpe,target
2019-10-17,AAPL,0.0038750848258534,0.0223056470399113,0.0038104022861708,1.043301984442614,1.0849015627950465,0.0546363511781492,0.0561564747759737,1.2175975233451433,0.1533842704102757,0.1509787609093273,1.3913478554030876,,0
2019-10-18,AAPL,0.0047912582140472,0.0008464048282984,0.0047265756743646,1.0449038424966175,1.0867296314420358,0.0675857883469902,0.0699220425043285,1.220416798889688,0.1355787715751786,0.1524888559468363,1.3796586580072805,,0
2019-10-21,AAPL,0.0171941144416502,0.0194809124775321,0.0171290350765708,1.0579530058254352,1.101574187779213,0.0995059889959264,0.1046250863152846,1.2385768983071557,0.1449856244577968,0.1553623552845212,1.3893080094361576,,0
2019-10-22,AAPL,-0.0022893374263237,0.0195260007095303,-0.0023536231406094,1.0508584252154065,1.0950947937459796,0.0926799695652177,0.0971105703065218,1.2327677395070151,0.1435105834023249,0.1546168419102527,1.39606663988423,,0
2019-10-23,AAPL,0.0133295885194594,0.0369007085746865,0.0132653028051736,1.059326500258729,1.10633520074322,0.1107757607520827,0.1171443711519368,1.2462938628522426,0.164778577540498,0.177062804913861,1.3966178990688118,,0
2019-10-24,AAPL,0.0016433745006338,0.0346689982494669,0.0015782951355544,1.0561285912562706,1.1040531735330694,0.09714686834875,0.1020222139189548,1.2454048997746794,0.1629501988712495,0.1834918667043409,1.4061947395166454,,0
2019-10-25,AAPL,0.0122411936398917,0.0421189336753114,0.0121765111002091,1.0632769481861808,1.113126478174248,0.1145590721991625,0.1213788814240814,1.2577021384022558,0.165896172794593,0.1942166843370029,1.410749092453064,,0
2019-10-28,AAPL,0.0099673399608763,0.0348921591945375,0.0099030542465905,1.0673028386064447,1.1199743275289766,0.1294042971100435,0.1381501819888142,1.2671156600120888,0.1801652546637469,0.2236277582695257,1.4089793929253684,,0
2019-10-29,AAPL,-0.0233996489019096,0.0137818477189516,-0.0234631409654016,1.0385237171659394,1.0908398236117345,0.08274202182668,0.08626154063029,1.23482351157371,0.1365666816288993,0.1523093872913895,1.4705889475558722,,0
2019-10-30,AAPL,-0.0001233290608634,0.0003289301386288,-0.0001864242989586,1.03446978242698,1.0874968844604451,0.0798543306156364,0.0831292774076057,1.2317952130009493,0.1583200380928347,0.158715183439927,1.4523466265691454,,0
