date,ticker,adj_close,log_return,market_log_return,rf_daily,volatility_5d,volatility_21d,volatility_63d,realized_vol,momentum_5d,momentum_21d,momentum_63d,momentum_126d,roc,beta,market_corr,excess_return,ma_21d,price_to_ma_21d,ma_50d,price_to_ma_50d,ma_200d,price_to_ma_200d,ma_crossover
2019-10-17,AAPL,56.598289489746094,0.0038750848258534,0.0027590219697752,6.468253968253968e-05,0.012534791016396468,0.013563633932233641,0.017358836410106073,0.21531601355404395,0.02230564703991132,0.0546363511781492,0.15338427041027575,0.15097876090932735,0.05615647477597374,1.3913478554030876,0.8287368683652803,0.0038104022861708605,54.24919182913644,1.0433019844426141,52.16905517578125,1.0849015627950465,46.483578033447266,1.2175975233451433,1
2019-10-18,AAPL,56.8701171875,0.0047912582140472,-0.0039270457097998,6.468253968253968e-05,0.00392799006242937,0.013342556982694289,0.017169187501990847,0.21180652577950454,0.000846404828298418,0.06758578834699021,0.13557877157517867,0.15248885594683637,0.06992204250432854,1.3796586580072803,0.8313685221100982,0.00472657567436466,54.4261728922526,1.0449038424966177,52.33143142700195,1.0867296314420358,46.59893016815185,1.2204167988896881,1
2019-10-21,AAPL,57.85640335083008,0.0171941144416502,0.0068481141053337,6.507936507936507e-05,0.008359446043212237,0.013010141035173504,0.017259651619018854,0.2065295862056732,0.019480912477532118,0.0995059889959264,0.14498562445779686,0.15536235528452128,0.10462508631528467,1.3893080094361576,0.8328156856992682,0.017129035076570834,54.68712034679594,1.0579530058254352,52.521567764282224,1.101574187779213,46.71199941635132,1.2385768983071557,1
2019-10-22,AAPL,57.72410202026367,-0.0022893374263237,-0.0035750492583768,6.42857142857143e-05,0.008351064673809252,0.01310039072587857,0.017264945950887976,0.2079622556307098,0.019526000709530318,0.0926799695652177,0.14351058340232498,0.15461684191025277,0.09711057030652182,1.39606663988423,0.8359757364185939,-0.0023536231406094143,54.930427006312776,1.0508584252154063,52.71151168823242,1.0950947937459796,46.82479932785034,1.2327677395070151,1
2019-10-23,AAPL,58.49869155883789,0.0133295885194594,0.0028431033458307,6.42857142857143e-05,0.007813394691180647,0.013061484026286395,0.01726988961228121,0.20734463092197863,0.03690070857468652,0.1107757607520827,0.16477857754049807,0.17706280491386106,0.11714437115193688,1.3966178990688118,0.8348807286163111,0.013265302805173686,55.22253199986049,1.059326500258729,52.87610076904297,1.1063352007432201,46.9381205368042,1.2462938628522426,1
2019-10-24,AAPL,58.59490585327149,0.0016433745006338,0.0019186046591713,6.507936507936507e-05,0.008121353250550896,0.012877201877165564,0.01726996382112986,0.2044192424961252,0.03466899824946692,0.09714686834875,0.16295019887124956,0.18349186670434095,0.10202221391895483,1.4061947395166454,0.8373571181835285,0.0015782951355544348,55.48084422520229,1.0561285912562706,53.07253967285156,1.1040531735330694,47.048880138397216,1.2454048997746794,1
2019-10-25,AAPL,59.31658554077149,0.0122411936398917,0.004064429510656,6.468253968253968e-05,0.00831118454361104,0.012775009814778152,0.017292395629342733,0.20279699379787386,0.04211893367531142,0.1145590721991625,0.16589617279459307,0.19421668433700295,0.12137888142408149,1.410749092453064,0.8398951294494673,0.01217651110020916,55.786580948602584,1.0632769481861808,53.28827110290527,1.113126478174248,47.16266572952271,1.2577021384022558,1
2019-10-28,AAPL,59.910770416259766,0.0099673399608763,0.0055658199161177,6.42857142857143e-05,0.00691595634515973,0.012583938452072214,0.017293543898475015,0.19976382994755706,0.034892159194537524,0.1294042971100435,0.18016525466374697,0.22362775826952577,0.13815018198881424,1.4089793929253684,0.8402602678139289,0.009903054246590586,56.13286899384998,1.0673028386064447,53.49298545837402,1.1199743275289766,47.2812169456482,1.2671156600120888,1
2019-10-29,AAPL,58.52515411376953,-0.0233996489019096,-0.0008327519564807,6.349206349206349e-05,0.015322605856180343,0.01349980707922693,0.017460033359016715,0.21430279367390215,0.01378184771895162,0.08274202182668,0.13656668162889934,0.1523093872913895,0.08626154063029001,1.4705889475558722,0.8604661286590785,-0.023463140965401665,56.354181562151226,1.0385237171659394,53.65146453857422,1.0908398236117345,47.395561847686764,1.23482351157371,1
2019-10-30,AAPL,58.51793670654297,-0.0001233290608634,0.0032480894008573,6.30952380952381e-05,0.014137118758405237,0.013527061422264291,0.01718986733796921,0.21473544295684197,0.0003289301386288179,0.0798543306156364,0.15832003809283476,0.15871518343992708,0.08312927740760578,1.4523466265691454,0.8577364400743719,-0.0001864242989586381,56.568048386346724,1.03446978242698,53.80975112915039,1.0874968844604451,47.50622188568115,1.2317952130009493,1
2019-10-31,AAPL,59.84099960327149,0.022357720516113,-0.003027438634539,5.992063492063492e-05,0.017378558907687865,0.012335540396319917,0.017092158140421206,0.19582063305752184,0.021043276154108018,0.12759948424125622,0.20206285502705246,0.16871799564912335,0.13609788645552978,1.422626163580508,0.841755786996928,0.022297799881192366,56.90941038585844,1.0515132593631917,53.98352966308594,1.1085047601878264,47.621274623870846,1.256602224025212,1
