date,ticker,fwd_sharpe,target
2019-10-17,AAPL,,0
2019-10-18,AAPL,,0
2019-10-21,AAPL,,0
2019-10-22,AAPL,,0
2019-10-23,AAPL,,0
2019-10-24,AAPL,,0
2019-10-25,AAPL,,0
2019-10-28,AAPL,,0
2019-10-29,AAPL,,0
2019-10-30,AAPL,,0
2019-10-31,AAPL,,0
2019-11-01,AAPL,,0
2019-11-04,AAPL,,0
2019-11-05,AAPL,,0
2019-11-06,AAPL,,0
2019-11-07,AAPL,,0
2019-11-08,AAPL,,0
2019-11-11,AAPL,,0
2019-11-12,AAPL,,0
2019-11-13,AAPL,,0
2019-11-14,AAPL,2.6982828574927558,1
2019-11-15,AAPL,4.224551523684821,1
2019-11-18,AAPL,3.6266784020146146,1
2019-11-19,AAPL,3.115256488568955,1
2019-11-20,AAPL,3.405467795297503,1
2019-11-21,AAPL,4.216415090487957,1
2019-11-22,AAPL,5.548773052989344,1
2019-11-25,AAPL,5.691296710821393,1
2019-11-26,AAPL,5.7689773094290695,1
2019-11-27,AAPL,6.441583400075123,1
2019-11-29,AAPL,6.027110106244772,1
2019-12-02,AAPL,6.750953547286476,1
2019-12-03,AAPL,9.17782099602176,1
2019-12-04,AAPL,10.582256535150123,1
2019-12-05,AAPL,10.525179135477313,1
2019-12-06,AAPL,8.93319688436128,1
2019-12-09,AAPL,8.866416677628528,1
2019-12-10,AAPL,12.27201798294422,1
2019-12-11,AAPL,11.902430820635463,1
2019-12-12,AAPL,12.262549334138502,1
2019-12-13,AAPL,9.978959769575194,1
2019-12-16,AAPL,8.609593332631965,1
2019-12-17,AAPL,8.440551655996167,1
2019-12-18,AAPL,9.060251394674442,1
2019-12-19,AAPL,8.575043959744313,1
2019-12-20,AAPL,8.787534310675845,1
2019-12-23,AAPL,9.399012436111423,1
2019-12-24,AAPL,8.104150508149816,1
2019-12-26,AAPL,4.796860268714784,1
2019-12-27,AAPL,5.040633855173115,1
2019-12-30,AAPL,6.026130685027271,1
2019-12-31,AAPL,5.601370472219381,1
2020-01-02,AAPL,2.2170786756310963,1
2020-01-03,AAPL,1.188321987152911,1
2020-01-06,AAPL,2.852456640085544,1
2020-01-07,AAPL,2.859665652779351,1
2020-01-08,AAPL,3.5320871824703537,1
2020-01-09,AAPL,2.29306624440296,1
2020-01-10,AAPL,1.6736525489281318,1
2020-01-13,AAPL,1.32120927618123,1
2020-01-14,AAPL,1.4077205547366634,1
2020-01-15,AAPL,1.6932469866692692,1
2020-01-16,AAPL,1.887874609433903,1
2020-01-17,AAPL,0.5827297809352039,0
2020-01-21,AAPL,0.7164883635745466,0
2020-01-22,AAPL,0.570790092841624,0
2020-01-23,AAPL,-0.48394253833116824,0
2020-01-24,AAPL,-2.2696982833948423,0
2020-01-27,AAPL,-3.206023154701779,0
2020-01-28,AAPL,-1.7321917340262492,0
2020-01-29,AAPL,-4.348513204802538,0
2020-01-30,AAPL,-5.125776112889565,0
2020-01-31,AAPL,-1.808233714656652,0
2020-02-03,AAPL,-1.539442419298107,0
2020-02-04,AAPL,-0.38163821361653444,0
2020-02-05,AAPL,-1.862897975955862,0
2020-02-06,AAPL,-2.352546294819619,0
2020-02-07,AAPL,-4.027533529572455,0
2020-02-10,AAPL,-2.1191461459930108,0
2020-02-11,AAPL,-2.8296145849766488,0
2020-02-12,AAPL,-4.116295326188719,0
2020-02-13,AAPL,-2.3065278394330897,0
2020-02-14,AAPL,-3.6690760476014495,0
2020-02-18,AAPL,-3.072901748922776,0
2020-02-19,AAPL,-3.147650124579993,0
2020-02-20,AAPL,-3.4338624183072426,0
2020-02-21,AAPL,-4.045214246510286,0
2020-02-24,AAPL,-4.028473611347938,0
2020-02-25,AAPL,-2.1456790465374556,0
2020-02-26,AAPL,-1.8238172877749577,0
2020-02-27,AAPL,-1.3957033410846418,0
2020-02-28,AAPL,-1.127169996850092,0
2020-03-02,AAPL,-0.7955186765153107,0
2020-03-03,AAPL,-1.9252629457406607,0
2020-03-04,AAPL,-2.1647059299936826,0
2020-03-05,AAPL,-2.541446168233914,0
2020-03-06,AAPL,-2.3272130993887967,0
2020-03-09,AAPL,-1.1042540677134605,0
2020-03-10,AAPL,-0.3049504112561398,0
2020-03-11,AAPL,-0.8549403659366593,0
2020-03-12,AAPL,-0.3370390184452267,0
2020-03-13,AAPL,1.2772295757487624,1
2020-03-16,AAPL,0.4649547612586188,0
2020-03-17,AAPL,2.921970973145832,1
2020-03-18,AAPL,2.327945323547264,1
2020-03-19,AAPL,2.556025964306798,1
2020-03-20,AAPL,2.288620445497768,1
2020-03-23,AAPL,3.10433004092957,1
2020-03-24,AAPL,4.123324299908572,1
2020-03-25,AAPL,2.5010339188832575,1
2020-03-26,AAPL,3.2596384382507697,1
2020-03-27,AAPL,2.206139848502899,1
2020-03-30,AAPL,2.9703323021434955,1
2020-03-31,AAPL,3.0585822828763183,1
2020-04-01,AAPL,3.6213536545854463,1
2020-04-02,AAPL,5.042126887191685,1
2020-04-03,AAPL,4.978546589281781,1
2020-04-06,AAPL,5.898290514699388,1
2020-04-07,AAPL,4.92543983700384,1
2020-04-08,AAPL,5.835779177808839,1
2020-04-09,AAPL,5.7916249430507305,1
2020-04-13,AAPL,6.081165870034532,1
2020-04-14,AAPL,4.88064346384441,1
2020-04-15,AAPL,2.938701346225935,1
2020-04-16,AAPL,3.6058188528960313,1
2020-04-17,AAPL,3.0164016665746316,1
2020-04-20,AAPL,4.522908586626847,1
2020-04-21,AAPL,5.377587971075764,1
2020-04-22,AAPL,8.520228868958286,1
2020-04-23,AAPL,6.9358403653424885,1
2020-04-24,AAPL,7.539342662703331,1
2020-04-27,AAPL,5.9868022466122195,1
2020-04-28,AAPL,6.191918114961436,1
2020-04-29,AAPL,7.4943842700414685,1
2020-04-30,AAPL,6.237384176883371,1
2020-05-01,AAPL,5.911011177541965,1
2020-05-04,AAPL,7.861914570392779,1
2020-05-05,AAPL,7.393574655225091,1
2020-05-06,AAPL,5.6766967499071335,1
2020-05-07,AAPL,6.252782290941871,1
2020-05-08,AAPL,6.009762705977415,1
2020-05-11,AAPL,6.1345294583022225,1
2020-05-12,AAPL,6.424713239826222,1
2020-05-13,AAPL,3.2530279344647552,1
2020-05-14,AAPL,4.228491175849453,1
2020-05-15,AAPL,4.47814698261767,1
2020-05-18,AAPL,5.742986009108427,1
2020-05-19,AAPL,4.787962562646493,1
2020-05-20,AAPL,5.099976037612731,1
2020-05-21,AAPL,4.034337504457083,1
2020-05-22,AAPL,5.385058708539261,1
2020-05-26,AAPL,5.915205799780224,1
2020-05-27,AAPL,5.278612493962182,1
2020-05-28,AAPL,5.624517028466988,1
2020-05-29,AAPL,3.953316670049012,1
2020-06-01,AAPL,4.770727133645463,1
2020-06-02,AAPL,4.635435862324286,1
2020-06-03,AAPL,4.379281463888055,1
2020-06-04,AAPL,4.169275539424712,1
2020-06-05,AAPL,5.4003526756636235,1
2020-06-08,AAPL,4.363103753412124,1
2020-06-09,AAPL,4.915311614073493,1
2020-06-10,AAPL,4.0905662717856055,1
2020-06-11,AAPL,3.2800505051944304,1
2020-06-12,AAPL,6.392453517272835,1
2020-06-15,AAPL,6.711441820607048,1
2020-06-16,AAPL,6.467542225352414,1
2020-06-17,AAPL,4.6218576517464935,1
2020-06-18,AAPL,4.5864498653165375,1
2020-06-19,AAPL,5.470802213933,1
2020-06-22,AAPL,4.947533849275182,1
2020-06-23,AAPL,4.038377884386283,1
2020-06-24,AAPL,0.5466860575450553,0
2020-06-25,AAPL,1.2160193419288776,1
2020-06-26,AAPL,1.609789539117044,1
2020-06-29,AAPL,2.359281811404975,1
2020-06-30,AAPL,2.2180582759104364,1
2020-07-01,AAPL,2.3724167504340623,1
